no,ort_tuketim_1,ort_tuketim_2,ort_tuketim_3,ort_tuketim_4,ort_tuketim_5,ort_tuketim_6,ort_tuketim_7,ort_tuketim_8,ort_tuketim_9,ort_tuketim_10,ort_tuketim_11,ort_tuketim_12,ort_tuketim_13,ort_tuketim_14,ort_tuketim_15,ort_tuketim_16,ort_tuketim_17,ort_tuketim_18,ort_tuketim_19,ort_tuketim_20,ort_tuketim_21,ort_tuketim_22,ort_tuketim_23,ort_tuketim_24,ort_tuketim_25,ort_tuketim_26,demand_1,demand_2,demand_3,demand_4,demand_5,demand_6,demand_7,demand_8,demand_9,demand_10,demand_11,demand_12,demand_13,demand_14,demand_15,demand_16,demand_17,demand_18,demand_19,demand_20,demand_21,demand_22,demand_23,demand_24,demand_25,demand_26,type,kacak
19,0.006,0.006,0.009,0.006,0.0,0.007,0.007,0.007,0.006,0.006,0.0,0.006,0.008,0.006,0.006,0.007,0.008,0.006,0.006,0.007,0.006,0.004,0.006,0.008,0.009,0.006,0.0002,0.0001,0.002,0.0002,0.0,0.005,0.001,0.0001,0.0001,0.0003,0.0,0.0002,0.0001,0.0005,2e-05,1e-05,0.0003,0.0004,0.0001,0.0001,0.0048,1e-05,3e-05,3e-05,0.004,6e-05,Ticarethane Genel,1
20,994.647,1818.827,2602.652,3407.932,4793.115,7011.288,9203.053,10345.333,11151.429,12363.249,14160.407,15840.911,17580.115,18597.44,19514.342,20428.595,21655.359,22027.23,21076.43,23043.0,22341.65,23841.153,23153.25,22279.18,20751.08,23518.62,15.532,18.431,19.732,14.952,20.532,21.356,25.656,27.136,22.008,22.328,21.432,19.462,24.392,23.616,24.546,25.346,24.438,26.718,23.542,24.212,25.126,24.596,26.214,27.928,25.521,25.988,Ticarethane Genel,0
21,17342.234,18492.549,19420.432,15710.334,18171.838,19867.346,18040.04,19071.897,17666.973,5216.438,5214.203,5893.246,6489.265,6897.003,4232.365,5987.36,5978.52,5902.34,5277.58,6786.79,6698,5872.34,5668.97,4088.69,4516.3,4950.89,6.629,6.629,6.385,6.619,6.127,6.032,6.104,7.923,7.655,2.919,3.021,2.542,2.602,2.433,2.436,2.965,2.502,2.919,2.653,2.223,3.103,3.486,3.021,2.402,2.943,2.812,Ticarethane Genel,1
22,13526.322,13594.425,13597.353,14841.926,14292.121,15854.915,25649.041,30457.481,35215.619,35123.013,35871.524,34938.127,34891.627,35713.321,36367.222,35900.635,35712.093,34990.534,34278.753,35678.931,35206.038,35147.737,34999.215,35248.013,34459.316,34162.219,14.356,14.246,13.589,13.352,12.273,12.112,12.343,21.272,22.012,21.231,21.906,22.178,21.173,20.212,20.743,20.691,21.912,21.258,20.391,20.183,21.207,21.262,21.291,23.301,21.131,22.321,Ticarethane Genel,0
23,194247.588,198276.198,201146.859,204004.286,206191.84,208856.129,210838.136,213279.428,215899.518,218045.001,22043.832,22368.835,22974.765,23217.417,28429.795,24226.53,24473.947,24268.229,25127.469,25679.352,26421.034,26258.927,26277.134,23525.205,27237.121,28450.301,30.728,29.528,28.428,22.58,21.3,19.624,17.224,19.092,20.704,16.06,6.404,6.072,6.228,6.872,6.796,6.212,5.328,8.948,9.734,8.233,6.552,6.934,7.204,7.376,7.422,7.234,Ticarethane Genel,1
24,289958.834,293751.476,297927.036,301633.139,305042.18,300706.43,301607.02,300758.84,307835.363,309215.06,310063.69,312853.78,315696.33,319710.94,319713.13,319921.15,320121.96,321570.36,322319.67,330697.36,331784.56,331518.99,332990.36,333006.925,335160.14,337801.29,72.984,78.756,76.348,71.66,74.292,74.92,75.62,74.22,74.09,75.98,75.03,76.92,76.4,76.1,77.32,77.25,77.08,76.6,77.31,77.67,77.34,77.55,76.31,78.62,79.03,78.26,Ticarethane Genel,0
25,13282.04,12292.95,12254.63,12841.33,12758.25,11867.14,1649.24,1290.75,1215.43,1113.8,1891.12,1938.43,1399.48,1871.2,1138.54,1196.36,1598.65,1457.424,1363.78,1278.89,1217.12,1444.92,1582.36,1570.14,1006.98,1233.18,5.363,5.325,5.921,5.341,5.421,4.321,0.437,0.538,0.556,0.457,0.743,1.232,1.123,1.151,1.092,0.931,0.893,0.932,0.932,0.733,0.762,0.791,0.842,0.6722,0.592,0.817,Ticarethane Genel,1
26,10279.48,10271.283,10050.401,14076.218,18758.302,24035.844,30372.15,35870.789,39113.008,42290.857,46208.042,51585.799,50555.67,49113.85,49851.58,49232.47,49399.09,49900.11,50890.15,51789.86,50315.67,50144.9,51012.65,51861.15,50345.95,51230.77,21.532,24.836,19.252,18.804,18.596,18.544,22.76,23.584,25.188,28.932,28.78,32.264,33.624,32.023,32.985,32.642,32.698,33.687,32.014,32.674,32.987,32.324,33.678,32.568,32.684,32.987,Ticarethane Genel,0
27,597.218,660.848,653.435,628.251,668.965,628.955,666.803,611.747,631.5,27.24,57.476,58.44,28.221,68.965,36.642,59.852,83.75,82.5,77.24,79.48,68.76,56.421,98.532,73.642,72.042,98.762,0.52,0.464,0.444,0.448,0.472,0.445,0.448,0.476,0.472,0.168,0.18,0.108,0.164,0.124,0.112,0.113,0.125,0.129,0.189,0.198,0.194,0.169,0.194,0.127,0.184,0.194,Mesken Genel,1
28,1853.906,1705.892,1640.688,1822.407,1870.644,1608.786,1960.768,1706.26,1861.1,1953.313,1805.422,1950.235,1932.743,1943.624,1897.732,1999.768,1990.342,1903.321,1954.325,1923.843,1946.703,1891.124,1999.602,1990.429,1903.351,1942.151,2.108,2.056,2.036,2.772,1.82,1.892,1.984,1.976,1.843,2.421,2.521,2.622,2.731,2.042,1.937,1.999,1.942,1.967,2.354,2.432,2.495,2.542,1.995,2.399,2.442,2.367,Mesken Genel,0
29,500.9,500.93,501.75,501.61,501.01,501.617,502.312,502.614,103.311,101.927,92.614,91.321,81.174,121.231,141.619,143.336,121.225,151.417,122.267,92.124,94.339,97.387,101.912,102.622,101.724,98.172,0.9,1.448,1.036,0.792,0.856,0.952,1.188,1.46,0.228,0.216,0.248,0.212,0.156,0.392,0.116,0.244,0.329,0.259,0.289,0.205,0.233,0.237,0.345,0.376,0.164,0.255,Ticarethane Genel,1
30,21087.894,21321.174,21687.537,22027.94,22444.596,22871.54,23189.071,23435.647,23809.118,24196.207,24469.396,24704.724,24990.705,25325.899,25656.628,26015.638,23897.76,22567.7,19932.54,26275.12,20435.9,22890.264,21874.25,22777.57,21388.02,19933.22,5.816,5.432,5.332,5.524,5.326,5.236,5.122,4.478,4.212,4.386,4.823,5.643,5.632,5.732,5.234,5.311,5.213,5.131,5.136,5.923,5.134,6.124,6.043,6.131,6.041,6.131,Ticarethane Genel,0
31,29704.859,28956.359,27991.673,27854.006,27980.837,28258.451,26660.599,28153.231,32555.67,5556.9,5887.09,6675.54,6655.33,7645.539,7544.034,6233.933,6007.029,5006.229,7344.821,6555.626,7680.728,6570.515,7344.21,6212.421,7123.323,6546.093,6.864,8.632,7.384,7.412,7.804,7.852,8.272,9.208,8.456,3.087,3.444,2.564,2.678,2.908,2.768,3.543,2.777,2.429,3.543,3.555,2.726,3.056,3.654,3.453,2.987,2.765,Mesken Genel,1
32,39356.224,40175.054,42894.994,48007.271,54446.647,59938.167,65045.035,67203.547,68399.781,71851.422,75559.985,79121.999,80789.343,82446.767,87152.851,94516.412,100887.727,108706.329,104294.926,106505.344,109943.036,98600.09,96809.0,97549.65,90555.89,97788.02,16.088,13.464,14.344,15.336,15.856,14.776,15.696,16.792,17.252,18.88,19.832,19.552,19.864,19.468,19.36,19.808,19.408,19.504,19.128,95.196,19.672,21.678,21.432,20.431,19.456,21.342,Mesken Genel,0
33,500.984,501.364,501.364,501.647,502.671,502.364,502.741,502.003,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.872,0.642,0.675,0.674,0.649,0.592,0.693,0.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ticarethane Genel,1
34,2000.982,2550.261,2499.498,3132.814,5504.48,7944.984,10005.166,12367.106,14388.33,17232.391,20193.822,18433.09,18444.8,19788.65,19346.9,19500.9,19076.67,19002.9,20333.54,20367.34,19934.67,19123.44,20453.62,21210.45,22347.21,21543.8,3.53,3.325,3.316,3.262,3.568,3.352,4.864,5.932,6.564,7.088,7.324,7.223,7.398,7.444,6.943,7.976,6.446,7.909,7.777,7.865,7.213,8.345,8.056,8.49,8.567,8.034,Ticarethane Genel,0
